scenario,bin_index,bin_start_t,count
KB1_NhuCauThap,0,0.000,187
KB1_NhuCauThap,1,0.050,163
KB1_NhuCauThap,2,0.100,158
KB1_NhuCauThap,3,0.150,169
KB1_NhuCauThap,4,0.200,152
KB1_NhuCauThap,5,0.250,147
KB1_NhuCauThap,6,0.300,149
KB1_NhuCauThap,7,0.350,124
KB1_NhuCauThap,8,0.400,136
KB1_NhuCauThap,9,0.450,125
KB1_NhuCauThap,10,0.500,128
KB1_NhuCauThap,11,0.550,137
KB1_NhuCauThap,12,0.600,142
KB1_NhuCauThap,13,0.650,136
KB1_NhuCauThap,14,0.700,133
KB1_NhuCauThap,15,0.750,144
KB1_NhuCauThap,16,0.800,152
KB1_NhuCauThap,17,0.850,175
KB1_NhuCauThap,18,0.900,184
KB1_NhuCauThap,19,0.950,159
KB2_NhuCauBangChiTieu,0,0.000,218
KB2_NhuCauBangChiTieu,1,0.050,196
KB2_NhuCauBangChiTieu,2,0.100,196
KB2_NhuCauBangChiTieu,3,0.150,193
KB2_NhuCauBangChiTieu,4,0.200,168
KB2_NhuCauBangChiTieu,5,0.250,153
KB2_NhuCauBangChiTieu,6,0.300,150
KB2_NhuCauBangChiTieu,7,0.350,115
KB2_NhuCauBangChiTieu,8,0.400,118
KB2_NhuCauBangChiTieu,9,0.450,103
KB2_NhuCauBangChiTieu,10,0.500,101
KB2_NhuCauBangChiTieu,11,0.550,100
KB2_NhuCauBangChiTieu,12,0.600,108
KB2_NhuCauBangChiTieu,13,0.650,116
KB2_NhuCauBangChiTieu,14,0.700,103
KB2_NhuCauBangChiTieu,15,0.750,131
KB2_NhuCauBangChiTieu,16,0.800,157
KB2_NhuCauBangChiTieu,17,0.850,176
KB2_NhuCauBangChiTieu,18,0.900,209
KB2_NhuCauBangChiTieu,19,0.950,189
KB3_QuaTaiVua,0,0.000,544
KB3_QuaTaiVua,1,0.050,506
KB3_QuaTaiVua,2,0.100,439
KB3_QuaTaiVua,3,0.150,337
KB3_QuaTaiVua,4,0.200,271
KB3_QuaTaiVua,5,0.250,234
KB3_QuaTaiVua,6,0.300,248
KB3_QuaTaiVua,7,0.350,229
KB3_QuaTaiVua,8,0.400,152
KB3_QuaTaiVua,9,0.450,58
KB3_QuaTaiVua,10,0.500,1
KB3_QuaTaiVua,11,0.550,1
KB3_QuaTaiVua,12,0.600,75
KB3_QuaTaiVua,13,0.650,151
KB3_QuaTaiVua,14,0.700,192
KB3_QuaTaiVua,15,0.750,251
KB3_QuaTaiVua,16,0.800,242
KB3_QuaTaiVua,17,0.850,263
KB3_QuaTaiVua,18,0.900,352
KB3_QuaTaiVua,19,0.950,454
KB4_QuaTaiNang,0,0.000,1645
KB4_QuaTaiNang,1,0.050,926
KB4_QuaTaiNang,2,0.100,662
KB4_QuaTaiNang,3,0.150,483
KB4_QuaTaiNang,4,0.200,673
KB4_QuaTaiNang,5,0.250,960
KB4_QuaTaiNang,6,0.300,173
KB4_QuaTaiNang,7,0.350,1
KB4_QuaTaiNang,8,0.400,0
KB4_QuaTaiNang,9,0.450,55
KB4_QuaTaiNang,10,0.500,321
KB4_QuaTaiNang,11,0.550,6
KB4_QuaTaiNang,12,0.600,1
KB4_QuaTaiNang,13,0.650,0
KB4_QuaTaiNang,14,0.700,306
KB4_QuaTaiNang,15,0.750,973
KB4_QuaTaiNang,16,0.800,545
KB4_QuaTaiNang,17,0.850,539
KB4_QuaTaiNang,18,0.900,687
KB4_QuaTaiNang,19,0.950,1044
KB5_TrungLichManh,0,0.000,345
KB5_TrungLichManh,1,0.050,329
KB5_TrungLichManh,2,0.100,329
KB5_TrungLichManh,3,0.150,301
KB5_TrungLichManh,4,0.200,292
KB5_TrungLichManh,5,0.250,248
KB5_TrungLichManh,6,0.300,260
KB5_TrungLichManh,7,0.350,202
KB5_TrungLichManh,8,0.400,186
KB5_TrungLichManh,9,0.450,165
KB5_TrungLichManh,10,0.500,182
KB5_TrungLichManh,11,0.550,165
KB5_TrungLichManh,12,0.600,192
KB5_TrungLichManh,13,0.650,203
KB5_TrungLichManh,14,0.700,180
KB5_TrungLichManh,15,0.750,247
KB5_TrungLichManh,16,0.800,260
KB5_TrungLichManh,17,0.850,274
KB5_TrungLichManh,18,0.900,318
KB5_TrungLichManh,19,0.950,322
KB6_NhieuSVNamCuoi,0,0.000,345
KB6_NhieuSVNamCuoi,1,0.050,329
KB6_NhieuSVNamCuoi,2,0.100,329
KB6_NhieuSVNamCuoi,3,0.150,301
KB6_NhieuSVNamCuoi,4,0.200,292
KB6_NhieuSVNamCuoi,5,0.250,248
KB6_NhieuSVNamCuoi,6,0.300,260
KB6_NhieuSVNamCuoi,7,0.350,202
KB6_NhieuSVNamCuoi,8,0.400,186
KB6_NhieuSVNamCuoi,9,0.450,165
KB6_NhieuSVNamCuoi,10,0.500,182
KB6_NhieuSVNamCuoi,11,0.550,165
KB6_NhieuSVNamCuoi,12,0.600,192
KB6_NhieuSVNamCuoi,13,0.650,203
KB6_NhieuSVNamCuoi,14,0.700,180
KB6_NhieuSVNamCuoi,15,0.750,247
KB6_NhieuSVNamCuoi,16,0.800,260
KB6_NhieuSVNamCuoi,17,0.850,274
KB6_NhieuSVNamCuoi,18,0.900,318
KB6_NhieuSVNamCuoi,19,0.950,322
