scenario,strategy,weight_method,seed,num_students,overload_ratio,violation_level,rejected_hard,waitlist,success_rate_pct,urgent_success_pct,normal_success_pct,fairness_index,capacity_util_pct,filter_ms,rank_ms,allocate_ms,total_ms
KB1_NhuCauThap,FIFO,-,42,3000,0.600000,low,0,0,100.000000,100.000000,100.000000,1.000000,61.728395,0.000000,1.737000,0.140000,1.877000
KB1_NhuCauThap,Rule-based,-,42,3000,0.600000,low,148,0,95.066667,94.642857,95.141066,0.999993,58.683128,0.229000,1.575000,0.178000,1.982000
KB1_NhuCauThap,TOPSIS,EWM,42,3000,0.600000,low,148,0,95.066667,94.642857,95.141066,0.999993,58.683128,0.983000,1.994000,0.138000,3.115000
KB1_NhuCauThap,Hybrid,EWM,42,3000,0.600000,low,148,2852,95.066667,94.642857,95.141066,0.999993,58.683128,0.186000,2.351000,52.784000,55.321000
KB1_NhuCauThap,TOPSIS,AHP,42,3000,0.600000,low,148,0,95.066667,94.642857,95.141066,0.999993,58.683128,0.189000,1.202000,0.350000,1.741000
KB1_NhuCauThap,Hybrid,AHP,42,3000,0.600000,low,148,2852,95.066667,94.642857,95.141066,0.999993,58.683128,0.215000,1.768000,48.635000,50.618000
KB1_NhuCauThap,FIFO,-,43,3000,0.600000,low,0,3,99.900000,99.544419,99.960953,0.999996,61.666667,0.000000,1.366000,0.117000,1.483000
KB1_NhuCauThap,Rule-based,-,43,3000,0.600000,low,152,0,94.933333,94.077449,95.080047,0.999972,58.600823,0.138000,1.267000,0.082000,1.487000
KB1_NhuCauThap,TOPSIS,EWM,43,3000,0.600000,low,152,0,94.933333,94.077449,95.080047,0.999972,58.600823,0.118000,1.991000,0.382000,2.491000
KB1_NhuCauThap,Hybrid,EWM,43,3000,0.600000,low,152,2848,94.933333,94.077449,95.080047,0.999972,58.600823,0.172000,1.992000,46.260000,48.424000
KB1_NhuCauThap,TOPSIS,AHP,43,3000,0.600000,low,152,0,94.933333,94.077449,95.080047,0.999972,58.600823,0.178000,1.099000,0.288000,1.565000
KB1_NhuCauThap,Hybrid,AHP,43,3000,0.600000,low,152,2848,94.933333,94.077449,95.080047,0.999972,58.600823,0.116000,1.682000,47.134000,48.932000
KB1_NhuCauThap,FIFO,-,44,3000,0.600000,low,0,0,100.000000,100.000000,100.000000,1.000000,61.728395,0.000000,2.365000,0.102000,2.467000
KB1_NhuCauThap,Rule-based,-,44,3000,0.600000,low,138,0,95.400000,95.424837,95.395514,1.000000,58.888889,0.122000,1.426000,0.086000,1.634000
KB1_NhuCauThap,TOPSIS,EWM,44,3000,0.600000,low,138,0,95.400000,95.424837,95.395514,1.000000,58.888889,0.122000,2.444000,0.178000,2.744000
KB1_NhuCauThap,Hybrid,EWM,44,3000,0.600000,low,138,2862,95.400000,95.424837,95.395514,1.000000,58.888889,0.305000,2.174000,47.689000,50.168000
KB1_NhuCauThap,TOPSIS,AHP,44,3000,0.600000,low,138,0,95.400000,95.424837,95.395514,1.000000,58.888889,0.186000,1.419000,0.089000,1.694000
KB1_NhuCauThap,Hybrid,AHP,44,3000,0.600000,low,138,2862,95.400000,95.424837,95.395514,1.000000,58.888889,0.377000,1.590000,46.008000,47.975000
KB1_NhuCauThap,FIFO,-,45,3000,0.600000,low,0,3,99.900000,99.784483,99.921136,1.000000,61.666667,0.000000,1.424000,0.112000,1.536000
KB1_NhuCauThap,Rule-based,-,45,3000,0.600000,low,158,0,94.733333,95.258621,94.637224,0.999989,58.477366,0.129000,1.309000,0.086000,1.524000
KB1_NhuCauThap,TOPSIS,EWM,45,3000,0.600000,low,158,0,94.733333,95.258621,94.637224,0.999989,58.477366,0.133000,1.524000,0.324000,1.981000
KB1_NhuCauThap,Hybrid,EWM,45,3000,0.600000,low,158,2842,94.733333,95.258621,94.637224,0.999989,58.477366,0.183000,1.600000,45.598000,47.381000
KB1_NhuCauThap,TOPSIS,AHP,45,3000,0.600000,low,158,0,94.733333,95.258621,94.637224,0.999989,58.477366,0.223000,1.797000,0.090000,2.110000
KB1_NhuCauThap,Hybrid,AHP,45,3000,0.600000,low,158,2842,94.733333,95.258621,94.637224,0.999989,58.477366,0.111000,1.312000,48.064000,49.487000
KB1_NhuCauThap,FIFO,-,46,3000,0.600000,low,0,8,99.733333,99.562363,99.764058,0.999999,61.563786,0.000000,1.454000,0.112000,1.566000
KB1_NhuCauThap,Rule-based,-,46,3000,0.600000,low,152,4,94.800000,95.185996,94.730633,0.999994,58.518519,0.173000,1.330000,0.107000,1.610000
KB1_NhuCauThap,TOPSIS,EWM,46,3000,0.600000,low,152,4,94.800000,95.185996,94.730633,0.999994,58.518519,0.343000,1.673000,0.086000,2.102000
KB1_NhuCauThap,Hybrid,EWM,46,3000,0.600000,low,152,2848,94.933333,95.185996,94.887928,0.999998,58.600823,0.175000,2.384000,46.122000,48.681000
KB1_NhuCauThap,TOPSIS,AHP,46,3000,0.600000,low,152,4,94.800000,95.185996,94.730633,0.999994,58.518519,0.178000,1.976000,0.177000,2.331000
KB1_NhuCauThap,Hybrid,AHP,46,3000,0.600000,low,152,2848,94.933333,95.185996,94.887928,0.999998,58.600823,0.195000,1.616000,46.448000,48.259000
KB1_NhuCauThap,FIFO,-,47,3000,0.600000,low,0,1,99.966667,99.781659,100.000000,0.999999,61.707819,0.000000,1.911000,0.096000,2.007000
KB1_NhuCauThap,Rule-based,-,47,3000,0.600000,low,137,0,95.433333,93.449782,95.790716,0.999847,58.909465,0.134000,1.300000,0.083000,1.517000
KB1_NhuCauThap,TOPSIS,EWM,47,3000,0.600000,low,137,0,95.433333,93.449782,95.790716,0.999847,58.909465,0.146000,1.818000,0.230000,2.194000
KB1_NhuCauThap,Hybrid,EWM,47,3000,0.600000,low,137,2863,95.433333,93.449782,95.790716,0.999847,58.909465,0.174000,1.500000,48.774000,50.448000
KB1_NhuCauThap,TOPSIS,AHP,47,3000,0.600000,low,137,0,95.433333,93.449782,95.790716,0.999847,58.909465,0.219000,1.681000,0.123000,2.023000
KB1_NhuCauThap,Hybrid,AHP,47,3000,0.600000,low,137,2863,95.433333,93.449782,95.790716,0.999847,58.909465,0.125000,1.645000,46.901000,48.671000
KB1_NhuCauThap,FIFO,-,48,3000,0.600000,low,0,6,99.800000,100.000000,99.764336,0.999999,61.604938,0.000000,1.421000,0.089000,1.510000
KB1_NhuCauThap,Rule-based,-,48,3000,0.600000,low,137,4,95.300000,96.475771,95.090338,0.999948,58.827160,0.130000,1.981000,0.089000,2.200000
KB1_NhuCauThap,TOPSIS,EWM,48,3000,0.600000,low,137,4,95.300000,96.475771,95.090338,0.999948,58.827160,0.126000,2.103000,0.181000,2.410000
KB1_NhuCauThap,Hybrid,EWM,48,3000,0.600000,low,137,2863,95.433333,96.475771,95.247447,0.999959,58.909465,0.599000,1.706000,49.442000,51.747000
KB1_NhuCauThap,TOPSIS,AHP,48,3000,0.600000,low,137,4,95.300000,96.475771,95.090338,0.999948,58.827160,0.185000,1.377000,0.104000,1.666000
KB1_NhuCauThap,Hybrid,AHP,48,3000,0.600000,low,137,2863,95.433333,96.475771,95.247447,0.999959,58.909465,0.266000,1.542000,51.556000,53.364000
KB1_NhuCauThap,FIFO,-,49,3000,0.600000,low,0,0,100.000000,100.000000,100.000000,1.000000,61.728395,0.000000,1.342000,0.094000,1.436000
KB1_NhuCauThap,Rule-based,-,49,3000,0.600000,low,151,0,94.966667,93.986637,95.139161,0.999963,58.621399,0.148000,1.277000,0.085000,1.510000
KB1_NhuCauThap,TOPSIS,EWM,49,3000,0.600000,low,151,0,94.966667,93.986637,95.139161,0.999963,58.621399,0.114000,1.486000,0.326000,1.926000
KB1_NhuCauThap,Hybrid,EWM,49,3000,0.600000,low,151,2849,94.966667,93.986637,95.139161,0.999963,58.621399,0.185000,1.621000,59.994000,61.800000
KB1_NhuCauThap,TOPSIS,AHP,49,3000,0.600000,low,151,0,94.966667,93.986637,95.139161,0.999963,58.621399,0.126000,1.720000,0.103000,1.949000
KB1_NhuCauThap,Hybrid,AHP,49,3000,0.600000,low,151,2849,94.966667,93.986637,95.139161,0.999963,58.621399,0.114000,2.051000,48.384000,50.549000
KB1_NhuCauThap,FIFO,-,50,3000,0.600000,low,0,2,99.933333,100.000000,99.921814,1.000000,61.687243,0.000000,1.478000,0.098000,1.576000
KB1_NhuCauThap,Rule-based,-,50,3000,0.600000,low,157,0,94.766667,93.891403,94.917905,0.999970,58.497942,0.187000,1.334000,0.089000,1.610000
