scenario,strategy,weight_method,n_seeds,success_mean_pct,success_std_pct,urgent_mean_pct,urgent_std_pct,normal_mean_pct,normal_std_pct,fairness_mean,fairness_std,cap_util_mean_pct,cap_util_std_pct,filter_ms_mean,rank_ms_mean,allocate_ms_mean,total_ms_mean,total_ms_std,rejected_hard_mean,waitlist_mean
KB1,FIFO,-,30,99.914444,0.104197,99.918644,0.136849,99.913644,0.113153,0.999999,0.000001,61.675583,0.064319,0.000000,1.522800,0.116833,1.639633,0.249572,0.000000,2.566667
KB1,Rule-based,-,30,95.021111,0.411099,95.003311,1.202161,95.023070,0.425494,0.999958,0.000054,58.655007,0.253765,0.199467,1.532400,0.098900,1.830767,0.443343,148.066667,1.300000
KB1,TOPSIS,EWM,30,95.021111,0.411099,95.003311,1.202161,95.023070,0.425494,0.999958,0.000054,58.655007,0.253765,0.215733,1.909500,0.169733,2.294967,0.454887,148.066667,1.300000
KB1,Hybrid,EWM,30,95.064444,0.407396,95.003311,1.202161,95.074141,0.408151,0.999959,0.000052,58.681756,0.251479,0.235833,2.027433,48.765133,51.028400,3.471428,148.066667,2851.933333
KB1,TOPSIS,AHP,30,95.021111,0.411099,95.003311,1.202161,95.023070,0.425494,0.999958,0.000054,58.655007,0.253765,0.184367,1.667167,0.146400,1.997933,0.297822,148.066667,1.300000
KB1,Hybrid,AHP,30,95.064444,0.407396,95.003311,1.202161,95.074141,0.408151,0.999959,0.000052,58.681756,0.251479,0.249867,1.708667,49.117433,51.075967,4.677540,148.066667,2851.933333
KB2,FIFO,-,30,88.158889,0.468362,88.239389,1.457308,88.144795,0.583653,0.999905,0.000108,91.832176,0.487877,0.000000,1.532133,0.109633,1.641767,0.287549,0.000000,355.233333
KB2,Rule-based,-,30,85.993333,0.365085,89.035042,1.192729,85.454411,0.423897,0.999525,0.000295,89.576389,0.380297,0.237133,1.565233,0.100233,1.902600,0.394255,147.433333,272.766667
KB2,TOPSIS,EWM,30,85.993333,0.365085,94.935097,1.159733,84.415122,0.460178,0.996524,0.000828,89.576389,0.380297,0.215700,1.868833,0.133167,2.217700,0.282610,147.433333,272.766667
KB2,Hybrid,EWM,30,89.476667,0.378761,94.935097,1.159733,88.512953,0.447913,0.998730,0.000485,93.204861,0.394543,0.298500,2.103867,43.779800,46.182167,2.618730,147.433333,3020.833333
KB2,TOPSIS,AHP,30,85.993333,0.365085,94.935097,1.159733,84.415122,0.460178,0.996524,0.000828,89.576389,0.380297,0.216200,1.652467,0.157833,2.026500,0.247604,147.433333,272.766667
KB2,Hybrid,AHP,30,89.466667,0.412357,94.935097,1.159733,88.501247,0.474846,0.998726,0.000480,93.194444,0.429539,0.179767,1.718000,44.031967,45.929733,2.718452,147.433333,3021.133333
KB3,FIFO,-,30,53.984667,0.025015,54.094056,1.555872,53.969123,0.270595,0.999726,0.000347,99.971605,0.046324,0.000000,2.915433,0.175433,3.090867,0.671641,0.000000,2300.766667
KB3,Rule-based,-,30,53.967333,0.039123,61.988289,1.531498,52.544347,0.274173,0.993070,0.002388,99.939506,0.072449,0.398000,3.181967,0.182867,3.762833,0.741612,247.766667,2053.866667
KB3,TOPSIS,EWM,30,53.967333,0.039123,95.006826,0.841103,46.676371,0.342570,0.895762,0.003242,99.939506,0.072449,0.292000,3.487700,0.200133,3.979833,0.687753,247.766667,2053.866667
KB3,Hybrid,EWM,30,54.000000,0.000000,95.006826,0.841103,46.714833,0.345434,0.895961,0.003286,100.000000,0.000000,0.452533,3.309133,48.424567,52.186233,4.079270,247.766667,6804.466667
KB3,TOPSIS,AHP,30,53.967333,0.039123,95.006826,0.841103,46.676371,0.342570,0.895762,0.003242,99.939506,0.072449,0.343133,2.774167,0.214000,3.331300,0.465473,247.766667,2053.866667
KB3,Hybrid,AHP,30,54.000000,0.000000,95.006826,0.841103,46.714833,0.345434,0.895961,0.003286,100.000000,0.000000,0.490067,2.965167,48.036800,51.492033,4.902473,247.766667,6804.466667
