method,num_students,overload_ratio,success_rate_pct,urgent_success_pct,normal_success_pct,fairness_index,capacity_util_pct,processing_time_ms
FIFO,1000,2.00,35.3000,35.9712,35.1916,0.999880,98.0556,0.674
Rule-based,1000,2.00,35.3000,44.6043,33.7979,0.981356,98.0556,0.704
TOPSIS,1000,2.00,35.3000,92.0863,26.1324,0.762631,98.0556,1.111
Hybrid,1000,2.00,35.9000,98.5612,25.7840,0.744847,99.7222,3.538
FIFO,5000,2.00,46.7800,42.5532,47.5839,0.996895,99.9573,2.765
Rule-based,5000,2.00,46.7800,62.7034,43.7515,0.969280,99.9573,2.815
TOPSIS,5000,2.00,46.7800,100.0000,36.6579,0.823154,99.9573,4.837
Hybrid,5000,2.00,46.8000,100.0000,36.6817,0.823314,100.0000,27.280
FIFO,10000,2.00,48.6000,49.3721,48.4624,0.999914,100.0000,5.883
Rule-based,10000,2.00,48.6000,68.0106,45.1396,0.960748,100.0000,6.293
TOPSIS,10000,2.00,48.6000,100.0000,39.4368,0.841289,100.0000,8.553
Hybrid,10000,2.00,48.6000,100.0000,39.4368,0.841289,100.0000,78.641
FIFO,20000,2.00,49.5000,49.8294,49.4435,0.999985,100.0000,14.250
Rule-based,20000,2.00,49.5000,70.0341,45.9754,0.958765,100.0000,11.166
TOPSIS,20000,2.00,49.5000,100.0000,40.8319,0.849970,100.0000,15.778
Hybrid,20000,2.00,49.5000,100.0000,40.8319,0.849970,100.0000,274.641
