timestamp,vus,vus_max,data_received_bytes_s,data_sent_bytes_s,http_reqs_per_s,http_req_failed_rate,http_req_duration_avg_ms,http_req_duration_p95_ms,http_req_blocked_avg_ms,http_req_connecting_avg_ms,http_req_tls_handshaking_avg_ms,http_req_sending_avg_ms,http_req_waiting_avg_ms,http_req_receiving_avg_ms,iterations_per_s
1787256564,0,0,0.0,0.0,1,0.0,466.216,466.216,1.55,0.16,0,1.728,463.336,1.152,0.0
1787256565,1,50,287,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1787256566,1,50,1539,409,2,0.0,462.798,462.879,0.006,0,0,0.03,462.666,0.103,2
1787256567,1,50,304,194,2,0.0,310.41,391.501,0.01,0,0,0.039,310.3,0.071,1
1787256568,2,50,807,414,1,0.0,927.994,927.994,0.181,0.135,0,0.049,927.862,0.082,2
1787256569,2,50,1543,409,3,0.0,488.089,845.523,0.018,0,0,0.02,487.998,0.071,2
1787256570,2,50,1329,383,2,0.0,325.401,413.346,0.005,0,0,0.017,325.324,0.061,2
1787256571,3,50,833,414,4,0.0,366.785,415.384,0.043,0.027,0,0.025,366.625,0.135,2
1787256572,3,50,2148,797,3,0.0,391.29,415.41,0.008,0,0,0.035,390.297,0.958,4
1787256573,3,50,2137,892,3,0.0,277.996,355.569,0.009,0,0,0.131,277.771,0.094,4
1787256574,3,50,2336,892,5,0.0,301.529,405.351,0.037,0.025,0,0.029,301.432,0.069,4
1787256575,4,50,2713,1017,4,0.0,292.209,353.929,0.006,0,0,0.023,292.122,0.064,5
1787256576,4,50,1082,703,6,0.0,262.812,405.402,0.006,0,0,0.032,262.716,0.064,3
1787256577,4,50,3430,1275,5,0.0,316.529,419.574,0.005,0,0,0.019,316.35,0.16,6
1787256578,5,50,3764,1206,7,0.0,346.27,393.06,0.037,0.022,0,0.027,346.142,0.101,6
1787256579,5,50,3522,1180,6,0.0,292.978,356.28,0.006,0,0,0.024,292.88,0.074,6
1787256580,5,50,5283,1364,5,0.0,291.092,372.974,0.011,0,0,0.041,290.954,0.097,7
1787256581,6,50,3522,1431,8,0.0,322.614,358.288,0.028,0.017,0,0.024,322.513,0.077,7
1787256582,6,50,4597,1369,6,0.0,316.333,361.415,0.006,0,0,0.023,316.232,0.078,7
1787256583,6,50,3978,1232,8,0.0,340.144,777.042,0.006,0,0,0.021,340.055,0.068,6
1787256584,6,50,3610,1431,9,0.0,304.478,354.098,0.025,0.014,0,0.023,304.391,0.064,7
1787256585,7,50,6438,1972,8,0.0,303.094,357.728,0.005,0,0,0.019,302.467,0.609,10
1787256586,7,50,5115,1589,7,0.0,333.972,820.216,0.015,0,0,0.068,333.828,0.076,8
1787256587,7,50,6148,2029,9,0.0,310.472,354.791,0.01,0,0,0.033,310.308,0.132,10
1787256588,8,50,5765,1333,9,0.0,382.775,802.616,0.033,0.021,0,0.027,382.632,0.116,7
1787256589,8,50,5432,2034,10,0.0,295.453,350.369,0.01,0,0,0.033,295.285,0.135,10
1787256590,8,50,5805,1584,10,0.0,305.297,374.697,0.006,0,0,0.023,305.197,0.077,8
1787256591,9,50,5021,2496,12,0.0,283.124,358.656,0.02,0.01,0,0.031,282.973,0.12,12
1787256592,9,50,6633,2498,10,0.0,300.425,351.782,0.01,0,0,0.029,300.278,0.118,12
1787256593,9,50,7271,2732,11,0.0,313.809,349.531,0.008,0,0,0.03,313.667,0.112,13
1787256594,9,50,5852,1835,14,0.0,294.562,349.844,0.09,0.062,0,0.035,294.46,0.067,9
1787256595,10,50,7690,2831,13,0.0,280.779,351.189,0.006,0,0,0.024,280.658,0.098,14
1787256596,11,50,7543,2827,16,0.0,297.562,364.786,0.023,0.008,0,0.04,297.437,0.084,13
1787256597,11,50,7313,2637,12,0.0,304.774,348.114,0.061,0.037,0,0.054,304.638,0.081,13
1787256598,12,50,8206,3051,15,0.0,283.971,349.548,0.006,0,0,0.021,283.842,0.109,15
1787256599,13,50,9798,2984,14,0.0,331.414,366.25,0.029,0.016,0,0.029,331.277,0.108,15
1787256600,13,50,9478,3100,20,0.0,341.012,692.986,0.017,0.006,0,0.033,340.846,0.133,16
1787256601,14,50,11081,3592,16,0.0,275.192,363.473,0.012,0,0,0.049,275.052,0.091,18
1787256602,15,50,12496,3651,18,0.0,259.871,357.399,0.021,0.009,0,0.035,259.603,0.234,18
1787256603,15,50,12208,3971,20,0.0,275.704,355.194,0.016,0.008,0,0.023,275.586,0.095,19
1787256604,16,50,14322,4410,20,0.0,307.51,682.631,0.009,0,0,0.034,307.404,0.072,22
1787256605,17,50,15512,4945,25,0.0,262.335,357.75,0.011,0.005,0,0.02,262.249,0.066,24
1787256606,17,50,14516,4578,23,0.0,267.617,352.682,0.015,0.007,0,0.023,267.512,0.082,23
1787256607,18,50,12785,4321,26,0.0,270.866,352.389,0.006,0,0,0.023,270.775,0.068,21
1787256608,19,50,16787,5150,22,0.0,258.651,353.055,0.017,0.008,0,0.032,258.537,0.081,26
1787256609,19,50,15362,5077,28,0.0,241.349,344.425,0.017,0.007,0,0.03,241.238,0.08,26
1787256610,20,50,14945,5502,25,0.0,277.919,354.585,0.006,0,0,0.02,277.786,0.112,26
1787256611,21,50,20138,5433,28,0.0,272.912,353.271,0.027,0.016,0,0.032,272.778,0.102,27
1787256612,21,50,15816,5082,31,0.0,298.933,358.687,0.015,0.005,0,0.032,298.836,0.065,25
1787256613,22,50,16368,5288,24,0.0,283.776,355.105,0.007,0,0,0.024,283.679,0.073,26
1787256614,23,50,21784,6178,30,0.0,260.333,349.752,0.016,0.006,0,0.026,260.209,0.098,31
1787256615,23,50,18374,5559,30,0.0,271.235,359.684,0.012,0.005,0,0.027,271.13,0.078,28
1787256616,24,50,15901,5113,20,0.0,461.714,872.37,0.011,0,0,0.023,461.59,0.101,25
1787256617,25,50,15426,5269,32,0.0,403.13,840.449,0.013,0.005,0,0.021,403.024,0.086,26
1787256618,25,50,17791,6493,32,0.0,282.075,376.018,0.017,0.008,0,0.026,281.989,0.059,31
1787256619,26,50,23737,6812,31,0.0,298.306,414.396,0.006,0,0,0.021,298.211,0.074,34
1787256620,27,50,20438,7202,33,0.0,276.377,387.795,0.016,0.006,0,0.031,276.247,0.098,35
1787256621,27,50,19932,6529,36,0.0,334.812,578.402,0.01,0.003,0,0.025,334.712,0.076,33
1787256622,28,50,22586,7007,34,0.0,302.804,397.173,0.006,0,0,0.022,302.713,0.069,34
1787256623,29,50,21203,7121,38,0.0,315.556,461.259,0.028,0.005,0,0.025,315.461,0.07,35
1787256624,29,50,26848,7741,38,0.0,264.725,345.988,0.012,0.006,0,0.02,264.643,0.062,39
1787256625,30,50,24728,8278,41,0.0,257.384,349.725,0.005,0,0,0.019,257.301,0.065,40
1787256626,31,50,23343,8632,44,0.0,270.291,360.872,0.009,0.002,0,0.02,270.208,0.062,40
1787256627,31,50,28793,8690,40,0.0,249.54,355.533,0.013,0.006,0,0.02,249.44,0.08,43
1787256628,32,50,28813,8785,43,0.0,243.282,346.011,0.005,0,0,0.02,243.2,0.062,43
1787256629,33,50,24747,8266,41,0.0,249.254,347.79,0.01,0.004,0,0.02,249.174,0.061,40
1787256630,33,50,28104,9406,48,0.0,244.887,354.508,0.011,0.003,0,0.022,244.803,0.062,46
